cards,has_solution,num_solutions
3 6 8 12,Y,10
3 6 8 13,Y,90
3 6 9 9,Y,22
3 6 9 10,Y,34
3 6 9 11,Y,28
3 6 9 12,Y,198
3 6 9 13,Y,36
3 6 10 10,Y,6
3 6 10 11,Y,106
3 6 10 12,Y,60
3 6 10 13,N,0
3 6 11 11,Y,10
3 6 11 12,Y,24
3 6 11 13,Y,16
3 6 12 12,Y,16
3 6 12 13,Y,16
3 6 13 13,Y,8
3 7 7 7,Y,24
3 7 7 8,Y,138
3 7 7 9,Y,2
3 7 7 10,Y,22
3 7 7 11,N,0
3 7 7 12,Y,2
3 7 7 13,Y,49
3 7 8 8,Y,26
3 7 8 9,Y,16
3 7 8 10,N,0
3 7 8 11,Y,24
3 7 8 12,Y,116
3 7 8 13,Y,16
3 7 9 9,Y,12
3 7 9 10,Y,34
3 7 9 11,Y,94
3 7 9 12,Y,30
3 7 9 13,Y,6
3 7 10 10,Y,49
3 7 10 11,Y,20
3 7 10 12,N,0
3 7 10 13,Y,38
3 7 11 11,Y,4
3 7 11 12,Y,38
3 7 11 13,N,0
3 7 12 12,Y,14
3 7 12 13,Y,36
3 7 13 13,Y,4
3 8 8 8,Y,87
3 8 8 9,Y,22
3 8 8 10,Y,2
3 8 8 11,Y,45
3 8 8 12,Y,10
3 8 8 13,N,0
3 8 9 9,Y,138
3 8 9 10,Y,114
3 8 9 11,Y,18
3 8 9 12,Y,20
3 8 9 13,Y,18
3 8 10 10,Y,138
3 8 10 11,Y,20
3 8 10 12,Y,8
3 8 10 13,N,0
3 8 11 11,Y,142
3 8 11 12,Y,20
3 8 11 13,N,0
3 8 12 12,Y,156
3 8 12 13,Y,44
3 8 13 13,Y,138
3 9 9 9,Y,18
3 9 9 10,Y,8
3 9 9 11,Y,12
3 9 9 12,Y,32
3 9 9 13,Y,4
3 9 10 10,Y,2
3 9 10 11,Y,28
3 9 10 12,Y,20
3 9 10 13,Y,18
3 9 11 11,Y,4
3 9 11 12,Y,32
3 9 11 13,Y,4
3 9 12 12,Y,14
3 9 12 13,Y,22
3 9 13 13,Y,2
